Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Tempo distancia 5(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Distancia nó 5(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
5.6514e-05;1.48e-07;9.7e-08;9.5e-08;9.4e-08;1.11e-07;9.4e-08;5.86874;5.51558;6.43355;6.25787;5.42804;6.33222;300.003;299.778;300;300
4.9435e-05;1.45e-07;6e-08;7e-08;8.7e-08;9.1e-08;6.9e-08;6.75552;6.00934;5.64599;6.41166;6.59543;5.61152;300.092;300.8;300;300
5.3487e-05;1.72e-07;1.37e-07;1.11e-07;1.09e-07;1.06e-07;1.03e-07;6.12896;6.41406;6.75253;7.10718;6.33521;7.09219;299.848;300.742;300;300
4.9077e-05;1.44e-07;1.1e-07;1.06e-07;9.7e-08;7.3e-08;8.8e-08;5.20829;6.32262;6.77231;6.32322;6.0645;6.57865;299.789;299.469;300;300
4.432e-05;1.56e-07;9.3e-08;9.6e-08;1.1e-07;9e-08;1.49e-07;7.3731;6.54927;5.56415;5.64719;7.00585;6.38228;299.816;300.841;300;300
0.000122515;2.23e-07;1.25e-07;5.9e-08;6.1e-08;7.3e-08;7.2e-08;5.7731;5.39566;6.73784;7.43335;7.15635;7.32183;300.138;299.284;300;300
0.000104307;2.09e-07;1.22e-07;1.06e-07;1.03e-07;8.1e-08;8.5e-08;7.24958;6.23179;6.55136;5.97127;5.3387;6.83827;300.512;300.812;300;300
5.1069e-05;1.69e-07;7.2e-08;5.6e-08;6.5e-08;5.9e-08;6.8e-08;5.9293;5.23438;6.9336;6.57475;6.17003;5.66218;299.722;299.669;300;300
4.9238e-05;1.73e-07;7.7e-08;6.4e-08;9.6e-08;6.4e-08;9.6e-08;6.55256;5.25386;5.2017;6.75792;7.0715;7.45284;300.957;298.977;300;300
7.2764e-05;3.6e-07;9.1e-08;9.4e-08;9.3e-08;5.47e-07;1e-07;6.13885;7.00135;7.12217;6.09838;5.27785;5.41395;299.383;300.718;300;300
0.000105319;1.7e-07;1.03e-07;9.3e-08;8.5e-08;7.8e-08;1.1e-07;5.56055;7.35811;5.42534;6.75702;6.18292;7.31823;300.25;301.337;300;300
5.3648e-05;1.58e-07;1.08e-07;9.2e-08;8.7e-08;9.6e-08;6.8e-08;6.98426;5.55755;6.26027;6.45363;7.31404;6.6455;300.168;299.942;300;300
7.4055e-05;1.34e-07;7.7e-08;3.9e-08;5.3e-08;6.5e-08;4e-08;6.48211;5.53657;6.16733;5.50179;7.18093;5.59982;300.442;299.306;300;300
5.0055e-05;1.84e-07;1e-07;9.6e-08;7.4e-08;6e-08;5.4e-08;6.33971;6.15984;5.14714;6.15654;5.40076;6.23508;299.817;299.658;300;300
4.8446e-05;1.23e-07;1.04e-07;5.2e-08;1.03e-07;7.9e-08;8.2e-08;6.43534;5.32671;5.49849;7.0823;6.33971;6.78041;300.849;300.25;300;300
5.4143e-05;1.35e-07;1.32e-07;9e-08;1.01e-07;1.06e-07;1.01e-07;6.09448;5.10217;5.41335;6.91261;7.16504;5.66278;299.075;299.716;300;300
4.4259e-05;1.44e-07;8.4e-08;7e-08;9.3e-08;1.08e-07;1.03e-07;6.57415;6.67458;6.12986;5.39566;7.14315;6.28215;300.336;300.206;300;300
5.2734e-05;1.67e-07;8.8e-08;1.18e-07;8.9e-08;7.5e-08;8.5e-08;5.40406;5.27095;6.00304;6.59693;7.12037;7.21271;300.076;299.103;300;300
6.5159e-05;2.29e-07;2.51e-07;9.8e-08;5.9e-08;6.1e-08;6.2e-08;5.02782;6.6413;5.16722;5.30603;7.41926;5.56805;300.206;299.354;300;300
4.3574e-05;1.14e-07;8.8e-08;8.3e-08;6e-08;6e-08;4.6e-08;7.45794;6.45153;6.76422;6.03992;6.23988;7.41746;300.587;300.744;300;300
6.4601e-05;3.28e-07;1.34e-07;1.37e-07;1e-07;1.13e-07;1.34e-07;6.39098;6.26236;6.36759;6.83347;6.6497;7.0805;300.098;300.476;300;300
4.5126e-05;1.53e-07;8.2e-08;1.64e-07;7.1e-08;7.5e-08;6.1e-08;6.82837;6.67038;5.22358;7.00975;6.87394;5.32791;301.106;299.351;300;300
5.0908e-05;1.48e-07;1.1e-07;9.2e-08;8.9e-08;7.6e-08;9.3e-08;5.13455;7.38329;6.65329;7.12517;6.6464;6.92611;299.769;300.81;300;300
6.2437e-05;1.79e-07;9.3e-08;8.6e-08;8.1e-08;1.06e-07;1e-07;6.40327;5.22029;5.67567;5.54826;6.26236;5.09257;300.05;300.625;300;300
4.9259e-05;1.51e-07;1.01e-07;1.41e-07;1.01e-07;9.8e-08;9.3e-08;6.03602;6.3541;6.3496;5.14234;6.04861;7.32723;300.168;301.319;300;300
5.4019e-05;1.2e-07;1.11e-07;9.2e-08;9e-08;9e-08;1.01e-07;7.35901;6.11337;5.41125;6.33551;5.29523;6.10108;299.07;299.637;300;300
4.8507e-05;1.24e-07;6.8e-08;1.04e-07;1.02e-07;6.1e-08;6.7e-08;6.40776;6.74383;5.47391;5.87893;5.24367;6.7828;299.326;299.348;300;300
5.0216e-05;1.32e-07;9.4e-08;8.4e-08;1.09e-07;7.6e-08;1.06e-07;7.35121;5.46162;5.62411;5.83696;5.32282;6.19371;299.986;300.218;300;300
5.4802e-05;1.36e-07;8.7e-08;8.3e-08;8.8e-08;6.4e-08;8.8e-08;5.777;5.41545;5.47751;5.87623;5.61331;6.37029;299.42;299.923;300;300
4.476e-05;1.56e-07;1.11e-07;5.7e-08;6.3e-08;8.5e-08;5.5e-08;5.38907;6.43894;5.97306;7.13896;5.43314;5.30783;300.299;300.325;300;300
